date	kowj	lien
20140420	0	0
20140421	0	0
20140422	0	0
20140423	0	0
20140424	0	0
20140425	0	0
20140426	0	0
20140427	0	0
20140428	0	0
20140429	0	0
20140430	0	0
20140501	0	0
20140502	0	0
20140503	39330	969
20140504	25124	287
20140505	22539	5628
20140506	22126	9994
20140507	32909	13821
20140508	41361	14273
20140509	39788	14358
20140510	39477	14411
20140511	48483	12728
20140512	56348	9559
20140513	50039	5847
20140514	37896	7441
20140515	54678	8654
20140516	58695	8656
20140517	45516	5015
20140518	36093	6488
20140519	36750	6790
20140520	38019	4786
20140521	25941	3495
20140522	31285	6295
20140523	31945	6956
20140524	31609	4279
20140525	30406	3839
20140526	29830	3771
20140527	37385	3775
20140528	32735	965
20140529	34749	2337
20140530	30351	6614
20140531	32030	10666
20140601	35038	10946
20140602	36205	13256
20140603	49677	20108
20140604	56361	21027
20140605	66608	17093
20140606	61488	13075
20140607	61868	12803
20140608	47515	14162
20140609	49499	8086
20140610	58519	5197
20140611	72665	7885
20140612	90594	8199
20140613	99253	9910
20140614	123095	6430
20140615	106061	5674
20140616	87934	5595
20140617	61725	2561
20140618	45937	2239
20140619	34687	3078
20140620	30546	8433
20140621	39216	11754
20140622	48451	16140
20140623	51126	18904
20140624	51286	20288
20140625	51410	19643
20140626	34018	15066
20140627	27228	13414
20140628	17685	9765
20140629	18166	10059
20140630	20786	9253
20140701	20638	7420
20140702	30533	6508
20140703	30717	8489
20140704	53375	10634
20140705	64511	10684
20140706	60116	11690
20140707	66098	13958
20140708	57415	14788
20140709	67993	14137
20140710	51769	12295
20140711	44879	9285
20140712	45762	7714
20140713	45975	6965
20140714	71948	9381
20140715	70259	7969
20140716	73278	7036
20140717	73445	7001
20140718	75244	7059
20140719	82403	9290
20140720	55477	6788
20140721	48947	5574
20140722	53253	8024
20140723	61320	8872
20140724	68480	14275
20140725	55708	12109
20140726	59450	11660
20140727	56675	14246
20140728	46849	14162
20140729	35512	15707
20140730	24705	11277
20140731	38770	17540
20140801	56654	19524
20140802	72669	21245
20140803	80333	19315
20140804	78554	16985
20140805	87994	17282
20140806	80605	13423
20140807	57645	20190
20140808	39700	22064
20140809	31841	28258
20140810	39291	35943
20140811	38048	42819
20140812	38741	44348
20140813	48397	52635
20140814	52754	59161
20140815	57137	62976
20140816	60817	57709
20140817	59781	60092
20140818	54601	58535
20140819	47580	-149788
20140820	43652	-23029
20140821	44007	-22917
20140822	34524	-17958
20140823	33183	9925
20140824	36631	28012
20140825	40983	252192
20140826	48423	128745
20140827	51176	130445
20140828	64930	134525
20140829	63163	104790
20140830	64367	96827
